id,model_name,lambda_c,mu,K,gamma,lambda_a,loglik,df,conv
1,null_ndd,1.70E-17,1.783112826,Inf,0.116396245,0.174684067,-534.6961773,5,0
2,null_ndd_cl0,0,1.783113434,Inf,0.116396289,0.174684151,-534.6961773,4,0
3,null_ndd_ki,5.04E-14,1.78311313,Inf,0.11639628,0.174684116,-534.6961773,4,0
4,null_ndd_k1,6.45E-14,1.753474617,1,0.112977867,0.175111685,-536.379985,4,0
5,null_ndd_cl0_ki,0,1.783112965,Inf,0.116396267,0.174684118,-534.6961773,3,0
6,null_ndd_cl0_k1,0,1.75347407,1,0.112977847,0.175111622,-536.379985,3,0
7,null_ndd11,0.004760166,1.834784993,0.448799116,0.1191982,0.183034913,-535.4199073,5,0
8,null_ndd11_cl0,0,1.783112977,Inf,0.116396247,0.174684104,-534.6961773,4,0
9,null_ndd11_ki,5.04E-14,1.78311313,Inf,0.11639628,0.174684116,-534.6961773,4,0
10,null_ndd11_k1,986.6324643,1.834784568,1,0.119198185,0.183034846,-535.4199073,4,0
11,null_ndd11_cl0_ki,0,1.783112965,Inf,0.116396267,0.174684118,-534.6961773,3,0
12,null_ndd11_cl0_k1,0,1.83478482,1,0.119198213,0.183034898,-535.4199073,3,0
13,null_ndd21,4.485127835,1.83478477,0.030899078,0.119198199,0.183034845,-535.4199073,5,0
14,null_ndd21_cl0,0,1.783113515,Inf,0.116396295,0.174684157,-534.6961773,4,0
15,null_ndd21_ki,5.04E-14,1.78311313,Inf,0.11639628,0.174684116,-534.6961773,4,0
16,null_ndd21_k1,3.34E-13,1.803915019,1,0.116823394,0.179983162,-535.7772773,4,0
17,null_ndd21_cl0_ki,0,1.783112965,Inf,0.116396267,0.174684118,-534.6961773,3,0
18,null_ndd21_cl0_k1,0,1.803914948,1,0.116823377,0.179983171,-535.7772773,3,0
1,null_ndd,3.93E-20,1.75347464,8.14E-12,0.112977872,0.175111704,-536.379985,5,0
2,null_ndd_cl0,0,2.95E-12,7.33E-32,0.024180147,0.112276974,-584.5521401,4,0
3,null_ndd_ki,1.62E-22,5.90E-19,Inf,0.024391036,0.110591843,-583.5014312,4,0
4,null_ndd_k1,1.08E-14,8.50E-15,1,0.024180142,0.112276832,-584.5521401,4,0
5,null_ndd_cl0_ki,0,1.783113292,Inf,0.11639629,0.17468409,-534.6961773,3,0
6,null_ndd_cl0_k1,0,1.753474608,1,0.112977873,0.175111725,-536.379985,3,0
7,null_ndd11,1.90E-38,1.90E-32,2.66E-19,0.023905832,0.115644781,-585.9331903,5,0
8,null_ndd11_cl0,0,2.69E-13,3.20E-29,0.023905834,0.115644815,-585.9331903,4,0
9,null_ndd11_ki,1.62E-22,5.90E-19,Inf,0.024391036,0.110591843,-583.5014312,4,0
10,null_ndd11_k1,1.94E-27,4.42E-15,1,0.023905832,0.115644795,-585.9331903,4,0
11,null_ndd11_cl0_ki,0,1.783113292,Inf,0.11639629,0.17468409,-534.6961773,3,0
12,null_ndd11_cl0_k1,0,1.834784762,1,0.119198198,0.183034792,-535.4199073,3,0
13,null_ndd21,1.90E-38,1.90E-32,2.66E-19,0.023905832,0.115644781,-585.9331903,5,0
14,null_ndd21_cl0,0,2.77E-13,1.25E-29,0.023905834,0.115644822,-585.9331903,4,0
15,null_ndd21_ki,1.62E-22,5.90E-19,Inf,0.024391036,0.110591843,-583.5014312,4,0
16,null_ndd21_k1,6.53E-17,8.09E-31,1,0.02401069,0.11435578,-585.4151913,4,0
17,null_ndd21_cl0_ki,0,1.783113292,Inf,0.11639629,0.17468409,-534.6961773,3,0
18,null_ndd21_cl0_k1,0,1.803915285,1,0.1168234,0.17998307,-535.7772773,3,0
1,null_ndd,3.38E-13,1.783112696,Inf,0.116396247,0.174684096,-534.6961773,5,0
2,null_ndd_cl0,0,1.753474675,0.035737296,0.112977869,0.175111609,-536.379985,4,0
3,null_ndd_ki,4.54E-16,1.783112898,Inf,0.116396258,0.1746841,-534.6961773,4,0
4,null_ndd_k1,1.00E-15,1.753474538,1,0.112977866,0.175111621,-536.379985,4,0
5,null_ndd_cl0_ki,0,1.783113296,Inf,0.116396278,0.174684137,-534.6961773,3,0
6,null_ndd_cl0_k1,0,1.753474926,1,0.11297789,0.175111724,-536.379985,3,0
7,null_ndd11,1.10E-27,1.834785082,7.15E-09,0.119198214,0.183034869,-535.4199073,5,0
8,null_ndd11_cl0,0,1.834784899,0.079929367,0.119198199,0.183034898,-535.4199073,4,0
9,null_ndd11_ki,4.54E-16,1.783112898,Inf,0.116396258,0.1746841,-534.6961773,4,0
10,null_ndd11_k1,0.079929367,1.834784899,1,0.119198199,0.183034898,-535.4199073,4,0
11,null_ndd11_cl0_ki,0,1.783113296,Inf,0.116396278,0.174684137,-534.6961773,3,0
12,null_ndd11_cl0_k1,0,1.834784813,1,0.119198191,0.183034896,-535.4199073,3,0
13,null_ndd21,4.35E-29,1.834784658,6.43E-12,0.119198187,0.183034874,-535.4199073,5,0
14,null_ndd21_cl0,0,1.834784921,0.036746337,0.119198207,0.183034927,-535.4199073,4,0
15,null_ndd21_ki,4.54E-16,1.783112898,Inf,0.116396258,0.1746841,-534.6961773,4,0
16,null_ndd21_k1,1.20E-27,1.803914935,1,0.116823379,0.179983109,-535.7772773,4,0
17,null_ndd21_cl0_ki,0,1.783113296,Inf,0.116396278,0.174684137,-534.6961773,3,0
18,null_ndd21_cl0_k1,0,1.803914927,1,0.116823375,0.179983183,-535.7772773,3,0
1,null_ndd,7.38E-27,1.753474502,2.89E-32,0.112977864,0.175111692,-536.379985,5,0
2,null_ndd_cl0,0,1.753474329,6.24E-14,0.112977856,0.175111661,-536.379985,4,0
3,null_ndd_ki,1.72E-13,1.783113066,Inf,0.11639628,0.174684142,-534.6961773,4,0
4,null_ndd_k1,1.42E-13,1.753474611,1,0.112977866,0.175111663,-536.379985,4,0
5,null_ndd_cl0_ki,0,1.783112971,Inf,0.116396264,0.174684116,-534.6961773,3,0
6,null_ndd_cl0_k1,0,1.753474345,1,0.112977876,0.175111708,-536.379985,3,0
7,null_ndd11,2.48E-13,1.78311293,Inf,0.116396253,0.17468409,-534.6961773,5,0
8,null_ndd11_cl0,0,1.783112773,Inf,0.116396251,0.174684196,-534.6961773,4,0
9,null_ndd11_ki,1.72E-13,1.783113066,Inf,0.11639628,0.174684142,-534.6961773,4,0
10,null_ndd11_k1,1.11E-19,1.834784699,1,0.119198195,0.183034887,-535.4199073,4,0
11,null_ndd11_cl0_ki,0,1.783112971,Inf,0.116396264,0.174684116,-534.6961773,3,0
12,null_ndd11_cl0_k1,0,1.834784781,1,0.1191982,0.183034908,-535.4199073,3,0
13,null_ndd21,8.49E-14,1.783112928,Inf,0.11639626,0.174684182,-534.6961773,5,0
14,null_ndd21_cl0,0,1.8347848,3.53E-16,0.1191982,0.183034867,-535.4199073,4,0
15,null_ndd21_ki,1.72E-13,1.783113066,Inf,0.11639628,0.174684142,-534.6961773,4,0
16,null_ndd21_k1,4.09E-13,1.803915175,1,0.116823409,0.179983204,-535.7772773,4,0
17,null_ndd21_cl0_ki,0,1.783112971,Inf,0.116396264,0.174684116,-534.6961773,3,0
18,null_ndd21_cl0_k1,0,1.803915128,1,0.11682339,0.179983183,-535.7772773,3,0
